data_evento,evento,tipo,local,fonte_url,confirmado,observacoes
2026-08-13,"Estreia: O Fim da Rua (ação/aventura, com Anne Hathaway e Ewan McGregor)",estreia_filme,Cinemark Shopping Metrô Santa Cruz,https://www.ingresso.com/noticias/lista-filmes-estreias-lancamentos-cinema-mes-agosto-2026,,shopping tem Cinemark com 9 salas (o maior cinema da região) - lançamento nacional amplo tende a estrear lá; não consegui confirmar sessão exata (acesso a ingresso.com/cinemark.com.br bloqueado neste ambiente) - confirmar na bilheteria/app
2026-08-13,Estreia: Patrulha Canina - O Filme do Dino (animação infantil),estreia_filme,Cinemark Shopping Metrô Santa Cruz,https://www.ingresso.com/noticias/lista-filmes-estreias-lancamentos-cinema-mes-agosto-2026,,shopping tem Cinemark com 9 salas (o maior cinema da região) - lançamento nacional amplo tende a estrear lá; não consegui confirmar sessão exata (acesso a ingresso.com/cinemark.com.br bloqueado neste ambiente) - confirmar na bilheteria/app
2026-08-20,"Estreias diversas (Amigas Sem Filtro, Anistia 79, O Shaolin do Sertão 2, entre outras)",estreia_filme,Cinemark Shopping Metrô Santa Cruz,https://www.ingresso.com/noticias/lista-filmes-estreias-lancamentos-cinema-mes-agosto-2026,,shopping tem Cinemark com 9 salas (o maior cinema da região) - lançamento nacional amplo tende a estrear lá; não consegui confirmar sessão exata (acesso a ingresso.com/cinemark.com.br bloqueado neste ambiente) - confirmar na bilheteria/app
2026-08-27,"Estreias diversas (Coyote vs. Acme, Wil, entre outras)",estreia_filme,Cinemark Shopping Metrô Santa Cruz,https://www.ingresso.com/noticias/lista-filmes-estreias-lancamentos-cinema-mes-agosto-2026,,shopping tem Cinemark com 9 salas (o maior cinema da região) - lançamento nacional amplo tende a estrear lá; não consegui confirmar sessão exata (acesso a ingresso.com/cinemark.com.br bloqueado neste ambiente) - confirmar na bilheteria/app
2026-08-14,Estreia: Autobiografia do Vermelho,peca_teatro,Teatro Youtube,https://vivaacidadenews.com.br/entretenimento/teatro/musicais-em-sp-agosto-2026/,,checar distância/relevância para o Santa Cruz
2026-08-08 a 2026-08-31,A Última Cova (temporada),peca_teatro,Teatro Cia da Revista,https://agendaculturalsaopaulo.com/programacao-teatro-sao-paulo/,,checar distância/relevância para o Santa Cruz
2026-08-03,Ninguém Tá Bem (também em 10/08, 17/08 e 31/08),peca_teatro,Teatro Youtube,https://vivaacidadenews.com.br/entretenimento/teatro/musicais-em-sp-agosto-2026/,,checar distância/relevância para o Santa Cruz
2026-09-03,Estreia: Ursinho Pooh - Sangue e Mel 3 (terror),estreia_filme,Cinemark Shopping Metrô Santa Cruz,https://www.cnnbrasil.com.br/pop/cinema/principais-lancamentos-de-2026-nos-cinemas-confira/,,shopping tem Cinemark com 9 salas (o maior cinema da região) - lançamento nacional amplo tende a estrear lá; não consegui confirmar sessão exata (acesso a ingresso.com/cinemark.com.br bloqueado neste ambiente) - confirmar na bilheteria/app
2026-09-18,Estreia: Resident Evil,estreia_filme,Cinemark Shopping Metrô Santa Cruz,https://www.cnnbrasil.com.br/pop/cinema/principais-lancamentos-de-2026-nos-cinemas-confira/,,shopping tem Cinemark com 9 salas (o maior cinema da região) - lançamento nacional amplo tende a estrear lá; não consegui confirmar sessão exata (acesso a ingresso.com/cinemark.com.br bloqueado neste ambiente) - confirmar na bilheteria/app
2026-09-24,Estreia: A Queda 2,estreia_filme,Cinemark Shopping Metrô Santa Cruz,https://www.cnnbrasil.com.br/pop/cinema/principais-lancamentos-de-2026-nos-cinemas-confira/,,shopping tem Cinemark com 9 salas (o maior cinema da região) - lançamento nacional amplo tende a estrear lá; não consegui confirmar sessão exata (acesso a ingresso.com/cinemark.com.br bloqueado neste ambiente) - confirmar na bilheteria/app
2026-08-20 a 2026-10-11,GIL – Andar com Fé (o Musical),peca_teatro,Teatro Santander (JK Iguatemi),https://blog.sympla.com.br/guia-do-publico/pecas-de-teatro-estreias/,,fonte diverge sobre o teatro (outra busca citou Teatro Bradesco) - confirmar local; checar relevância para o Santa Cruz
2026-09-10 a 2026-10-25,Marrom - O Musical (baseado na obra de Djavan),peca_teatro,Teatro Claro Mais SP,https://teatroclaromaissp.com.br/programacao,,checar distância/relevância para o Santa Cruz
2026-09-26,Afonso Padilha (stand-up),outro,Teatro J. Safra,https://blog.sympla.com.br/guia-do-publico/pecas-de-teatro-estreias/,,checar distância/relevância para o Santa Cruz
